Epsilon(kCal/mol) T(Kelvin) dCv(kCal/mol*Kelvin)
2.79 13.94 0.0563
2.79 14.04 0.057
2.79 14.14 0.0576
2.79 14.24 0.0582
2.79 14.34 0.0586
2.79 14.45 0.0589
2.79 14.55 0.0592
2.79 14.65 0.0594
2.79 14.76 0.0596
2.79 14.86 0.0597
2.79 14.97 0.0597
2.79 15.07 0.0597
2.79 15.18 0.0597
2.79 15.29 0.0596
2.79 15.4 0.0596
2.79 15.5 0.0596
2.79 15.61 0.0595
2.79 15.73 0.0596
2.79 15.84 0.0596
2.79 15.95 0.0597
2.79 16.06 0.0599
2.79 16.18 0.0601
2.79 16.29 0.0603
2.79 16.41 0.0607
2.79 16.52 0.0611
2.79 16.64 0.0616
2.79 16.76 0.0622
2.79 16.88 0.0628
2.79 17.0 0.0635
2.79 17.12 0.0643
2.79 17.24 0.0652
2.79 17.36 0.0661
2.79 17.49 0.0671
2.79 17.61 0.0681
2.79 17.73 0.0692
2.79 17.86 0.0702
2.79 17.99 0.0714
2.79 18.11 0.0725
2.79 18.24 0.0736
2.79 18.37 0.0747
2.79 18.5 0.0757
2.79 18.63 0.0767
2.79 18.77 0.0776
2.79 18.9 0.0785
2.79 19.03 0.0792
2.79 19.17 0.0798
2.79 19.31 0.0804
2.79 19.44 0.0807
2.79 19.58 0.081
2.79 19.72 0.0811
2.79 19.86 0.0812
2.79 20.0 0.081
2.81 10.07 0.5249
2.81 10.14 0.5722
2.81 10.21 0.5773
2.81 10.29 0.5394
2.81 10.36 0.4686
2.81 10.43 0.3824
2.81 10.51 0.2958
2.81 10.58 0.2204
2.81 10.66 0.1599
2.81 10.73 0.1152
2.81 10.81 0.0833
2.81 10.89 0.0618
2.81 10.96 0.0473
2.81 11.04 0.0379
2.81 11.12 0.0316
2.81 11.2 0.0274
2.81 11.28 0.0246
2.81 11.36 0.0226
2.81 11.44 0.0211
2.81 11.52 0.02
2.81 11.6 0.0192
2.81 11.68 0.0186
2.81 11.77 0.0182
2.81 11.85 0.0178
2.81 11.93 0.0176
2.81 12.02 0.0174
2.81 12.1 0.0172
2.81 12.19 0.0171
2.81 12.28 0.017
2.81 12.36 0.0169
2.81 12.45 0.0169
2.81 12.54 0.0169
2.81 12.63 0.0169
2.81 12.72 0.0169
2.81 12.81 0.0169
2.81 12.9 0.0169
2.81 12.99 0.0169
2.81 13.08 0.0169
2.81 13.18 0.0169
2.81 13.27 0.017
2.81 13.36 0.017
2.81 13.46 0.017
2.81 13.55 0.017
2.81 13.65 0.017
2.81 13.75 0.017
2.81 13.85 0.017
2.81 13.94 0.017
2.81 14.04 0.017
2.81 14.14 0.017
2.81 14.24 0.017
2.81 14.34 0.017
2.81 14.45 0.0169
2.81 14.55 0.0169
2.81 14.65 0.0169
2.81 14.76 0.0168
2.81 14.86 0.0168
2.81 14.97 0.0168
2.81 15.07 0.0167
2.81 15.18 0.0167
2.81 15.29 0.0167
2.81 15.4 0.0167
2.81 15.5 0.0167
2.81 15.61 0.0167
2.81 15.73 0.0167
2.81 15.84 0.0167
2.81 15.95 0.0167
2.81 16.06 0.0167
2.81 16.18 0.0168
2.81 16.29 0.0168
2.81 16.41 0.0169
2.81 16.52 0.017
2.81 16.64 0.0171
2.81 16.76 0.0172
2.81 16.88 0.0173
2.81 17.0 0.0174
2.81 17.12 0.0175
2.81 17.24 0.0177
2.81 17.36 0.0179
2.81 17.49 0.018
2.81 17.61 0.0183
2.81 17.73 0.0185
2.81 17.86 0.0187
2.81 17.99 0.019
2.81 18.11 0.0194
2.81 18.24 0.0197
2.81 18.37 0.0201
2.81 18.5 0.0205
2.81 18.63 0.021
2.81 18.77 0.0215
2.81 18.9 0.0221
2.81 19.03 0.0227
2.81 19.17 0.0234
2.81 19.31 0.0241
2.81 19.44 0.0249
2.81 19.58 0.0258
2.81 19.72 0.0267
2.81 19.86 0.0277
2.81 20.0 0.0287
2.83 10.07 0.4295
2.83 10.14 0.4745
2.83 10.21 0.4925
2.83 10.29 0.4796
2.83 10.36 0.4389
2.83 10.43 0.38
2.83 10.51 0.3129
2.83 10.58 0.2481
2.83 10.66 0.1908
2.83 10.73 0.1445
2.83 10.81 0.1088
2.83 10.89 0.0827
2.83 10.96 0.0641
2.83 11.04 0.0512
2.83 11.12 0.0423
2.83 11.2 0.0362
2.83 11.28 0.032
2.83 11.36 0.029
2.83 11.44 0.0269
2.83 11.52 0.0254
2.83 11.6 0.0242
2.83 11.68 0.0234
2.83 11.77 0.0227
2.83 11.85 0.0223
2.83 11.93 0.0219
2.83 12.02 0.0216
2.83 12.1 0.0213
2.83 12.19 0.0211
2.83 12.28 0.021
2.83 12.36 0.0209
2.83 12.45 0.0208
2.83 12.54 0.0207
2.83 12.63 0.0206
2.83 12.72 0.0205
2.83 12.81 0.0205
2.83 12.9 0.0204
2.83 12.99 0.0204
2.83 13.08 0.0204
2.83 13.18 0.0204
2.83 13.27 0.0203
2.83 13.36 0.0203
2.83 13.46 0.0203
2.83 13.55 0.0203
2.83 13.65 0.0203
2.83 13.75 0.0203
2.83 13.85 0.0203
2.83 13.94 0.0203
2.83 14.04 0.0204
2.83 14.14 0.0204
2.83 14.24 0.0204
2.83 14.34 0.0205
2.83 14.45 0.0205
2.83 14.55 0.0205
2.83 14.65 0.0206
2.83 14.76 0.0206
2.83 14.86 0.0207
2.83 14.97 0.0207
2.83 15.07 0.0208
2.83 15.18 0.0208
2.83 15.29 0.0209
2.83 15.4 0.0209
2.83 15.5 0.021
2.83 15.61 0.021
2.83 15.73 0.021
2.83 15.84 0.0211
2.83 15.95 0.0211
2.83 16.06 0.0212
2.83 16.18 0.0212
2.83 16.29 0.0212
2.83 16.41 0.0213
2.83 16.52 0.0213
2.83 16.64 0.0213
2.83 16.76 0.0214
2.83 16.88 0.0214
2.83 17.0 0.0215
2.83 17.12 0.0215
2.83 17.24 0.0216
2.83 17.36 0.0217
2.83 17.49 0.0218
2.83 17.61 0.0219
2.83 17.73 0.022
2.83 17.86 0.0221
2.83 17.99 0.0223
2.83 18.11 0.0225
2.83 18.24 0.0228
2.83 18.37 0.023
2.83 18.5 0.0233
2.83 18.63 0.0236
2.83 18.77 0.024
2.83 18.9 0.0244
2.83 19.03 0.0249
2.83 19.17 0.0254
2.83 19.31 0.026
2.83 19.44 0.0266
2.83 19.58 0.0273
2.83 19.72 0.028
2.83 19.86 0.0288
2.83 20.0 0.0297
2.85 10.07 0.0416
2.85 10.14 0.0456
2.85 10.21 0.0498
2.85 10.29 0.0542
2.85 10.36 0.0588
2.85 10.43 0.0635
2.85 10.51 0.0683
2.85 10.58 0.073
2.85 10.66 0.0777
2.85 10.73 0.0821
2.85 10.81 0.0863
2.85 10.89 0.0901
2.85 10.96 0.0934
2.85 11.04 0.0962
2.85 11.12 0.0983
2.85 11.2 0.0998
2.85 11.28 0.1007
2.85 11.36 0.1008
2.85 11.44 0.1003
2.85 11.52 0.0992
2.85 11.6 0.0975
2.85 11.68 0.0954
2.85 11.77 0.0928
2.85 11.85 0.09
2.85 11.93 0.087
2.85 12.02 0.0838
2.85 12.1 0.0806
2.85 12.19 0.0775
2.85 12.28 0.0743
2.85 12.36 0.0714
2.85 12.45 0.0685
2.85 12.54 0.0659
2.85 12.63 0.0634
2.85 12.72 0.0611
2.85 12.81 0.059
2.85 12.9 0.0572
2.85 12.99 0.0554
2.85 13.08 0.0539
2.85 13.18 0.0525
2.85 13.27 0.0513
2.85 13.36 0.0502
2.85 13.46 0.0493
2.85 13.55 0.0485
2.85 13.65 0.0477
2.85 13.75 0.0471
2.85 13.85 0.0466
2.85 13.94 0.0461
2.85 14.04 0.0457
2.85 14.14 0.0453
2.85 14.24 0.0451
2.85 14.34 0.0448
2.85 14.45 0.0447
2.85 14.55 0.0445
2.85 14.65 0.0444
2.85 14.76 0.0444
2.85 14.86 0.0444
2.85 14.97 0.0444
2.85 15.07 0.0444
2.85 15.18 0.0445
2.85 15.29 0.0446
2.85 15.4 0.0447
2.85 15.5 0.0449
2.85 15.61 0.045
2.85 15.73 0.0452
2.85 15.84 0.0454
2.85 15.95 0.0456
2.85 16.06 0.0459
2.85 16.18 0.0461
2.85 16.29 0.0463
2.85 16.41 0.0465
2.85 16.52 0.0468
2.85 16.64 0.047
2.85 16.76 0.0472
2.85 16.88 0.0474
2.85 17.0 0.0475
2.85 17.12 0.0477
2.85 17.24 0.0479
2.85 17.36 0.048
2.85 17.49 0.0482
2.85 17.61 0.0484
2.85 17.73 0.0486
2.85 17.86 0.0488
2.85 17.99 0.0491
2.85 18.11 0.0495
2.85 18.24 0.05
2.85 18.37 0.0506
2.85 18.5 0.0514
2.85 18.63 0.0524
2.85 18.77 0.0536
2.85 18.9 0.055
2.85 19.03 0.0568
2.85 19.17 0.0588
2.85 19.31 0.0612
2.85 19.44 0.064
2.85 19.58 0.0672
2.85 19.72 0.0708
2.85 19.86 0.0748
2.85 20.0 0.0792
2.87 10.07 0.4821
2.87 10.14 0.561
2.87 10.21 0.6053
2.87 10.29 0.6031
2.87 10.36 0.5556
2.87 10.43 0.4764
2.87 10.51 0.3829
2.87 10.58 0.2929
2.87 10.66 0.2153
2.87 10.73 0.155
2.87 10.81 0.1105
2.87 10.89 0.0797
2.87 10.96 0.0588
2.87 11.04 0.0453
2.87 11.12 0.0365
2.87 11.2 0.0308
2.87 11.28 0.027
2.87 11.36 0.0245
2.87 11.44 0.0228
2.87 11.52 0.0215
2.87 11.6 0.0206
2.87 11.68 0.0199
2.87 11.77 0.0194
2.87 11.85 0.019
2.87 11.93 0.0187
2.87 12.02 0.0184
2.87 12.1 0.0181
2.87 12.19 0.0179
2.87 12.28 0.0177
2.87 12.36 0.0176
2.87 12.45 0.0174
2.87 12.54 0.0172
2.87 12.63 0.0171
2.87 12.72 0.0169
2.87 12.81 0.0167
2.87 12.9 0.0166
2.87 12.99 0.0164
2.87 13.08 0.0163
2.87 13.18 0.0161
2.87 13.27 0.016
2.87 13.36 0.0159
2.87 13.46 0.0157
2.87 13.55 0.0156
2.87 13.65 0.0155
2.87 13.75 0.0154
2.87 13.85 0.0153
2.87 13.94 0.0151
2.87 14.04 0.015
2.87 14.14 0.015
2.87 14.24 0.0149
2.87 14.34 0.0148
2.87 14.45 0.0147
2.87 14.55 0.0147
2.87 14.65 0.0146
2.87 14.76 0.0146
2.87 14.86 0.0146
2.87 14.97 0.0145
2.87 15.07 0.0145
2.87 15.18 0.0145
2.87 15.29 0.0146
2.87 15.4 0.0146
2.87 15.5 0.0146
2.87 15.61 0.0147
2.87 15.73 0.0147
2.87 15.84 0.0148
2.87 15.95 0.0149
2.87 16.06 0.015
2.87 16.18 0.0151
2.87 16.29 0.0152
2.87 16.41 0.0153
2.87 16.52 0.0155
2.87 16.64 0.0156
2.87 16.76 0.0158
2.87 16.88 0.0159
2.87 17.0 0.0161
2.87 17.12 0.0163
2.87 17.24 0.0165
2.87 17.36 0.0168
2.87 17.49 0.017
2.87 17.61 0.0173
2.87 17.73 0.0176
2.87 17.86 0.0179
2.87 17.99 0.0182
2.87 18.11 0.0186
2.87 18.24 0.019
2.87 18.37 0.0194
2.87 18.5 0.0199
2.87 18.63 0.0204
2.87 18.77 0.021
2.87 18.9 0.0217
2.87 19.03 0.0224
2.87 19.17 0.0233
2.87 19.31 0.0243
2.87 19.44 0.0254
2.87 19.58 0.0268
2.87 19.72 0.0284
2.87 19.86 0.0302
2.87 20.0 0.0325
2.89 10.07 9.7775
2.89 10.14 9.9915
2.89 10.21 8.4303
2.89 10.29 6.232
2.89 10.36 4.5181
2.89 10.43 3.6881
2.89 10.51 3.6885
2.89 10.58 4.4014
2.89 10.66 5.586
2.89 10.73 6.6671
2.89 10.81 6.9746
2.89 10.89 6.3301
2.89 10.96 5.2433
2.89 11.04 4.3323
2.89 11.12 3.8049
2.89 11.2 3.5947
2.89 11.28 3.5803
2.89 11.36 3.6945
2.89 11.44 3.8803
2.89 11.52 4.0213
2.89 11.6 3.9671
2.89 11.68 3.6403
2.89 11.77 3.0994
2.89 11.85 2.4993
2.89 11.93 1.9611
2.89 12.02 1.5503
2.89 12.1 1.2612
2.89 12.19 1.0728
2.89 12.28 0.9553
2.89 12.36 0.89
2.89 12.45 0.8633
2.89 12.54 0.8679
2.89 12.63 0.9003
2.89 12.72 0.9587
2.89 12.81 1.0446
2.89 12.9 1.1581
2.89 12.99 1.3001
2.89 13.08 1.4625
2.89 13.18 1.6305
2.89 13.27 1.7723
2.89 13.36 1.8541
2.89 13.46 1.8465
2.89 13.55 1.7427
2.89 13.65 1.5626
2.89 13.75 1.3389
2.89 13.85 1.1103
2.89 13.94 0.8996
2.89 14.04 0.7221
2.89 14.14 0.5776
2.89 14.24 0.4646
2.89 14.34 0.3759
2.89 14.45 0.3071
2.89 14.55 0.2527
2.89 14.65 0.2099
2.89 14.76 0.1754
2.89 14.86 0.1479
2.89 14.97 0.1254
2.89 15.07 0.1072
2.89 15.18 0.0923
2.89 15.29 0.0802
2.89 15.4 0.0702
2.89 15.5 0.0622
2.89 15.61 0.0556
2.89 15.73 0.0504
2.89 15.84 0.0462
2.89 15.95 0.0431
2.89 16.06 0.0407
2.89 16.18 0.0391
2.89 16.29 0.0382
2.89 16.41 0.0378
2.89 16.52 0.0381
2.89 16.64 0.0389
2.89 16.76 0.0402
2.89 16.88 0.0421
2.89 17.0 0.0445
2.89 17.12 0.0474
2.89 17.24 0.0508
2.89 17.36 0.0549
2.89 17.49 0.0595
2.89 17.61 0.0647
2.89 17.73 0.0706
2.89 17.86 0.0771
2.89 17.99 0.0844
2.89 18.11 0.0923
2.89 18.24 0.1011
2.89 18.37 0.1105
2.89 18.5 0.1208
2.89 18.63 0.1317
2.89 18.77 0.1435
2.89 18.9 0.1559
2.89 19.03 0.1691
2.89 19.17 0.1828
2.89 19.31 0.197
2.89 19.44 0.2116
2.89 19.58 0.2264
2.89 19.72 0.241
2.89 19.86 0.2554
2.89 20.0 0.2692
2.91 10.07 0.3739
2.91 10.14 0.3644
2.91 10.21 0.3546
2.91 10.29 0.3454
2.91 10.36 0.3372
2.91 10.43 0.331
2.91 10.51 0.3275
2.91 10.58 0.3273
2.91 10.66 0.3314
2.91 10.73 0.3404
2.91 10.81 0.3551
2.91 10.89 0.3756
2.91 10.96 0.4023
2.91 11.04 0.4339
2.91 11.12 0.469
2.91 11.2 0.5044
2.91 11.28 0.5367
2.91 11.36 0.5614
2.91 11.44 0.5749
2.91 11.52 0.5746
2.91 11.6 0.5592
2.91 11.68 0.5301
2.91 11.77 0.4894
2.91 11.85 0.4413
2.91 11.93 0.3891
2.91 12.02 0.337
2.91 12.1 0.2872
2.91 12.19 0.2421
2.91 12.28 0.2021
2.91 12.36 0.1682
2.91 12.45 0.1395
2.91 12.54 0.116
2.91 12.63 0.0968
2.91 12.72 0.0815
2.91 12.81 0.0693
2.91 12.9 0.0597
2.91 12.99 0.0521
2.91 13.08 0.0463
2.91 13.18 0.0419
2.91 13.27 0.0387
2.91 13.36 0.0364
2.91 13.46 0.0349
2.91 13.55 0.0341
2.91 13.65 0.0339
2.91 13.75 0.0343
2.91 13.85 0.0351
2.91 13.94 0.0365
2.91 14.04 0.0382
2.91 14.14 0.0404
2.91 14.24 0.0429
2.91 14.34 0.046
2.91 14.45 0.0493
2.91 14.55 0.0532
2.91 14.65 0.0574
2.91 14.76 0.062
2.91 14.86 0.0669
2.91 14.97 0.0723
2.91 15.07 0.078
2.91 15.18 0.084
2.91 15.29 0.0902
2.91 15.4 0.0967
2.91 15.5 0.1032
2.91 15.61 0.1099
2.91 15.73 0.1166
2.91 15.84 0.1232
2.91 15.95 0.1296
2.91 16.06 0.1358
2.91 16.18 0.1416
2.91 16.29 0.1471
2.91 16.41 0.1521
2.91 16.52 0.1567
2.91 16.64 0.1607
2.91 16.76 0.1643
2.91 16.88 0.1673
2.91 17.0 0.1699
2.91 17.12 0.1721
2.91 17.24 0.1738
2.91 17.36 0.1752
2.91 17.49 0.1764
2.91 17.61 0.1773
2.91 17.73 0.178
2.91 17.86 0.1786
2.91 17.99 0.1793
2.91 18.11 0.18
2.91 18.24 0.1808
2.91 18.37 0.182
2.91 18.5 0.1836
2.91 18.63 0.1858
2.91 18.77 0.1888
2.91 18.9 0.1927
2.91 19.03 0.1977
2.91 19.17 0.2039
2.91 19.31 0.2115
2.91 19.44 0.2204
2.91 19.58 0.2306
2.91 19.72 0.242
2.91 19.86 0.2545
2.91 20.0 0.2676
2.93 10.07 0.3027
2.93 10.14 0.278
2.93 10.21 0.2551
2.93 10.29 0.2348
2.93 10.36 0.2168
2.93 10.43 0.2015
2.93 10.51 0.1887
2.93 10.58 0.1784
2.93 10.66 0.1704
2.93 10.73 0.1646
2.93 10.81 0.1609
2.93 10.89 0.1591
2.93 10.96 0.159
2.93 11.04 0.1603
2.93 11.12 0.1631
2.93 11.2 0.1669
2.93 11.28 0.1716
2.93 11.36 0.177
2.93 11.44 0.1828
2.93 11.52 0.1888
2.93 11.6 0.1948
2.93 11.68 0.2005
2.93 11.77 0.2059
2.93 11.85 0.2106
2.93 11.93 0.2147
2.93 12.02 0.218
2.93 12.1 0.2206
2.93 12.19 0.2225
2.93 12.28 0.2238
2.93 12.36 0.2246
2.93 12.45 0.225
2.93 12.54 0.2251
2.93 12.63 0.2252
2.93 12.72 0.2252
2.93 12.81 0.2254
2.93 12.9 0.2258
2.93 12.99 0.2263
2.93 13.08 0.2269
2.93 13.18 0.2276
2.93 13.27 0.2281
2.93 13.36 0.2284
2.93 13.46 0.2282
2.93 13.55 0.2272
2.93 13.65 0.2253
2.93 13.75 0.2222
2.93 13.85 0.2179
2.93 13.94 0.2123
2.93 14.04 0.2053
2.93 14.14 0.1971
2.93 14.24 0.1878
2.93 14.34 0.1776
2.93 14.45 0.1668
2.93 14.55 0.1554
2.93 14.65 0.144
2.93 14.76 0.1326
2.93 14.86 0.1215
2.93 14.97 0.1108
2.93 15.07 0.1007
2.93 15.18 0.0912
2.93 15.29 0.0825
2.93 15.4 0.0745
2.93 15.5 0.0674
2.93 15.61 0.0609
2.93 15.73 0.0552
2.93 15.84 0.0502
2.93 15.95 0.0459
2.93 16.06 0.0421
2.93 16.18 0.039
2.93 16.29 0.0364
2.93 16.41 0.0343
2.93 16.52 0.0326
2.93 16.64 0.0314
2.93 16.76 0.0306
2.93 16.88 0.0302
2.93 17.0 0.0301
2.93 17.12 0.0304
2.93 17.24 0.031
2.93 17.36 0.032
2.93 17.49 0.0333
2.93 17.61 0.035
2.93 17.73 0.0371
2.93 17.86 0.0396
2.93 17.99 0.0426
2.93 18.11 0.046
2.93 18.24 0.05
2.93 18.37 0.0545
2.93 18.5 0.0598
2.93 18.63 0.0658
2.93 18.77 0.0727
2.93 18.9 0.0805
2.93 19.03 0.0894
2.93 19.17 0.0993
2.93 19.31 0.1105
2.93 19.44 0.1229
2.93 19.58 0.1367
2.93 19.72 0.1517
2.93 19.86 0.1681
2.93 20.0 0.1855
2.95 10.07 3.155
2.95 10.14 2.2321
2.95 10.21 1.5572
2.95 10.29 1.1139
2.95 10.36 0.8314
2.95 10.43 0.6553
2.95 10.51 0.5425
2.95 10.58 0.4705
2.95 10.66 0.424
2.95 10.73 0.3955
2.95 10.81 0.3794
2.95 10.89 0.3731
2.95 10.96 0.3746
2.95 11.04 0.3829
2.95 11.12 0.3977
2.95 11.2 0.4187
2.95 11.28 0.4457
2.95 11.36 0.4779
2.95 11.44 0.5148
2.95 11.52 0.5541
2.95 11.6 0.5941
2.95 11.68 0.6314
2.95 11.77 0.6633
2.95 11.85 0.6868
2.95 11.93 0.7
2.95 12.02 0.7019
2.95 12.1 0.6926
2.95 12.19 0.6736
2.95 12.28 0.6467
2.95 12.36 0.6146
2.95 12.45 0.5789
2.95 12.54 0.5419
2.95 12.63 0.5041
2.95 12.72 0.467
2.95 12.81 0.4305
2.95 12.9 0.3954
2.95 12.99 0.3614
2.95 13.08 0.3291
2.95 13.18 0.2984
2.95 13.27 0.2697
2.95 13.36 0.2427
2.95 13.46 0.218
2.95 13.55 0.1951
2.95 13.65 0.1744
2.95 13.75 0.1556
2.95 13.85 0.1388
2.95 13.94 0.1237
2.95 14.04 0.1103
2.95 14.14 0.0984
2.95 14.24 0.088
2.95 14.34 0.0787
2.95 14.45 0.0706
2.95 14.55 0.0635
2.95 14.65 0.0573
2.95 14.76 0.0519
2.95 14.86 0.0472
2.95 14.97 0.0431
2.95 15.07 0.0396
2.95 15.18 0.0366
2.95 15.29 0.0341
2.95 15.4 0.032
2.95 15.5 0.0303
2.95 15.61 0.0289
2.95 15.73 0.0279
2.95 15.84 0.0272
2.95 15.95 0.0269
2.95 16.06 0.0269
2.95 16.18 0.0273
2.95 16.29 0.0281
2.95 16.41 0.0292
2.95 16.52 0.0308
2.95 16.64 0.0329
2.95 16.76 0.0355
2.95 16.88 0.0386
2.95 17.0 0.0423
2.95 17.12 0.0467
2.95 17.24 0.0518
2.95 17.36 0.0577
2.95 17.49 0.0644
2.95 17.61 0.0719
2.95 17.73 0.0803
2.95 17.86 0.0895
2.95 17.99 0.0996
2.95 18.11 0.1104
2.95 18.24 0.1218
2.95 18.37 0.1337
2.95 18.5 0.146
2.95 18.63 0.1582
2.95 18.77 0.1703
2.95 18.9 0.1817
2.95 19.03 0.1924
2.95 19.17 0.2019
2.95 19.31 0.21
2.95 19.44 0.2165
2.95 19.58 0.2213
2.95 19.72 0.2241
2.95 19.86 0.2252
2.95 20.0 0.2245
