Epsilon(kCal/mol) T(Kelvin) dCv(kCal/mol*Kelvin)
1.75 3.4 0.0052
1.75 3.5 0.005
1.75 3.61 0.0048
1.75 3.72 0.0046
1.75 3.84 0.0044
1.75 3.96 0.0042
1.75 4.08 0.004
1.75 4.21 0.0037
1.75 4.34 0.0035
1.75 4.47 0.0033
1.75 4.61 0.0031
1.75 4.76 0.0029
1.75 4.9 0.0027
1.75 5.06 0.0025
1.75 5.21 0.0023
1.75 5.37 0.0021
1.75 5.54 0.002
1.75 5.71 0.0018
1.75 5.89 0.0017
1.75 6.07 0.0016
1.75 6.26 0.0015
1.75 6.46 0.0014
1.75 6.65 0.0013
1.75 6.86 0.0012
1.75 7.07 0.0012
1.75 7.3 0.0011
1.75 7.52 0.001
1.75 7.76 0.001
1.75 7.99 0.001
1.75 8.25 0.0009
1.75 8.5 0.0009
1.75 8.77 0.0009
1.75 9.03 0.0009
1.75 9.32 0.0009
1.75 9.6 0.0009
1.75 9.91 0.0009
1.75 10.21 0.0009
1.75 10.53 0.0009
1.75 10.85 0.0009
1.75 11.19 0.001
1.75 11.54 0.001
1.75 11.9 0.001
1.75 12.26 0.001
1.75 12.65 0.0011
1.75 13.04 0.0011
1.75 13.45 0.0011
1.75 13.86 0.0012
1.75 14.3 0.0012
1.75 14.73 0.0012
1.75 15.2 0.0012
1.75 15.66 0.0013
1.75 16.15 0.0013
1.75 16.65 0.0013
1.75 17.17 0.0013
1.75 17.7 0.0014
1.75 18.26 0.0014
1.75 18.81 0.0014
1.75 19.41 0.0014
1.75 20.0 0.0014
1.75 20.63 0.0014
1.75 21.26 0.0014
2.0 1.03 0.7271
2.0 1.06 0.4864
2.0 1.1 0.3198
2.0 1.13 0.24
2.0 1.17 0.2016
2.0 1.2 0.1833
2.0 1.24 0.1731
2.0 1.28 0.1667
2.0 1.32 0.16
2.0 1.36 0.1516
2.0 1.4 0.1405
2.0 1.44 0.1279
2.0 1.49 0.1144
2.0 1.53 0.1017
2.0 1.58 0.0898
2.0 1.63 0.0799
2.0 1.68 0.0714
2.0 1.73 0.0647
2.0 1.79 0.0593
2.0 1.84 0.0549
2.0 1.9 0.051
2.0 1.96 0.0475
2.0 2.02 0.0441
2.0 2.08 0.0409
2.0 2.15 0.0378
2.0 2.21 0.0352
2.0 2.28 0.0328
2.0 2.35 0.0308
2.0 2.43 0.0291
2.0 2.5 0.0278
2.0 2.58 0.0267
2.0 2.66 0.0258
2.0 2.74 0.0251
2.0 2.83 0.0245
2.0 2.92 0.0239
2.0 3.01 0.0234
2.0 3.1 0.0229
2.0 3.2 0.0225
2.0 3.3 0.022
2.0 3.4 0.0216
2.0 3.5 0.0212
2.0 3.61 0.0208
2.0 3.72 0.0203
2.0 3.84 0.0198
2.0 3.96 0.0193
2.0 4.08 0.0187
2.0 4.21 0.0181
2.0 4.34 0.0174
2.0 4.47 0.0167
2.0 4.61 0.016
2.0 4.76 0.0151
2.0 4.9 0.0143
2.0 5.06 0.0134
2.0 5.21 0.0125
2.0 5.37 0.0115
2.0 5.54 0.0106
2.0 5.71 0.0097
2.0 5.89 0.0088
2.0 6.07 0.0079
2.0 6.26 0.0071
2.0 6.46 0.0064
2.0 6.65 0.0057
2.0 6.86 0.0051
2.0 7.07 0.0046
2.0 7.3 0.0041
2.0 7.52 0.0037
2.0 7.76 0.0033
2.0 7.99 0.003
2.0 8.25 0.0027
2.0 8.5 0.0025
2.0 8.77 0.0023
2.0 9.03 0.0021
2.0 9.32 0.002
2.0 9.6 0.0019
2.0 9.91 0.0018
2.0 10.21 0.0018
2.0 10.53 0.0017
2.0 10.85 0.0017
2.0 11.19 0.0017
2.0 11.54 0.0017
2.0 11.9 0.0017
2.0 12.26 0.0017
2.0 12.65 0.0017
2.0 13.04 0.0018
2.0 13.45 0.0018
2.0 13.86 0.0018
2.0 14.3 0.0019
2.0 14.73 0.0019
2.0 15.2 0.0019
2.0 15.66 0.002
2.0 16.15 0.002
2.0 16.65 0.002
2.0 17.17 0.002
2.0 17.7 0.002
2.0 18.26 0.0021
2.0 18.81 0.0021
2.0 19.41 0.0021
2.0 20.0 0.0021
2.0 20.63 0.0021
2.0 21.26 0.002
2.25 1.03 2.5972
2.25 1.06 2.2105
2.25 1.1 1.7697
2.25 1.13 1.2293
2.25 1.17 1.0434
2.25 1.2 1.0475
2.25 1.24 0.9956
2.25 1.28 0.8673
2.25 1.32 0.7242
2.25 1.36 0.6021
2.25 1.4 0.4895
2.25 1.44 0.3963
2.25 1.49 0.3198
2.25 1.53 0.2623
2.25 1.58 0.2185
2.25 1.63 0.1915
2.25 1.68 0.1807
2.25 1.73 0.1863
2.25 1.79 0.2045
2.25 1.84 0.2245
2.25 1.9 0.234
2.25 1.96 0.2241
2.25 2.02 0.1973
2.25 2.08 0.1661
2.25 2.15 0.1398
2.25 2.21 0.1257
2.25 2.28 0.1241
2.25 2.35 0.1333
2.25 2.43 0.1499
2.25 2.5 0.1676
2.25 2.58 0.1807
2.25 2.66 0.1832
2.25 2.74 0.1733
2.25 2.83 0.1543
2.25 2.92 0.1303
2.25 3.01 0.1074
2.25 3.1 0.087
2.25 3.2 0.0713
2.25 3.3 0.059
2.25 3.4 0.0503
2.25 3.5 0.0438
2.25 3.61 0.0393
2.25 3.72 0.036
2.25 3.84 0.0337
2.25 3.96 0.032
2.25 4.08 0.0309
2.25 4.21 0.0303
2.25 4.34 0.0302
2.25 4.47 0.0305
2.25 4.61 0.0311
2.25 4.76 0.032
2.25 4.9 0.0331
2.25 5.06 0.0343
2.25 5.21 0.0354
2.25 5.37 0.0366
2.25 5.54 0.0378
2.25 5.71 0.039
2.25 5.89 0.0403
2.25 6.07 0.0421
2.25 6.26 0.0444
2.25 6.46 0.0474
2.25 6.65 0.0511
2.25 6.86 0.0554
2.25 7.07 0.0597
2.25 7.3 0.0632
2.25 7.52 0.0646
2.25 7.76 0.0633
2.25 7.99 0.0592
2.25 8.25 0.0526
2.25 8.5 0.0448
2.25 8.77 0.0366
2.25 9.03 0.0292
2.25 9.32 0.0225
2.25 9.6 0.0173
2.25 9.91 0.013
2.25 10.21 0.0098
2.25 10.53 0.0073
2.25 10.85 0.0055
2.25 11.19 0.0042
2.25 11.54 0.0032
2.25 11.9 0.0025
2.25 12.26 0.002
2.25 12.65 0.0016
2.25 13.04 0.0013
2.25 13.45 0.0011
2.25 13.86 0.0009
2.25 14.3 0.0008
2.25 14.73 0.0008
2.25 15.2 0.0007
2.25 15.66 0.0006
2.25 16.15 0.0006
2.25 16.65 0.0006
2.25 17.17 0.0005
2.25 17.7 0.0005
2.25 18.26 0.0005
2.25 18.81 0.0005
2.25 19.41 0.0005
2.25 20.0 0.0005
2.25 20.63 0.0004
2.25 21.26 0.0004
2.5 1.03 0.3552
2.5 1.06 0.2927
2.5 1.1 0.2412
2.5 1.13 0.2045
2.5 1.17 0.1738
2.5 1.2 0.1467
2.5 1.24 0.1212
2.5 1.28 0.0998
2.5 1.32 0.0819
2.5 1.36 0.0683
2.5 1.4 0.0576
2.5 1.44 0.0498
2.5 1.49 0.0439
2.5 1.53 0.0397
2.5 1.58 0.0366
2.5 1.63 0.0344
2.5 1.68 0.0329
2.5 1.73 0.0319
2.5 1.79 0.0312
2.5 1.84 0.0309
2.5 1.9 0.0308
2.5 1.96 0.0309
2.5 2.02 0.0309
2.5 2.08 0.031
2.5 2.15 0.0308
2.5 2.21 0.0305
2.5 2.28 0.0299
2.5 2.35 0.0291
2.5 2.43 0.028
2.5 2.5 0.0267
2.5 2.58 0.0252
2.5 2.66 0.0236
2.5 2.74 0.022
2.5 2.83 0.0203
2.5 2.92 0.0186
2.5 3.01 0.017
2.5 3.1 0.0155
2.5 3.2 0.014
2.5 3.3 0.0126
2.5 3.4 0.0113
2.5 3.5 0.0101
2.5 3.61 0.009
2.5 3.72 0.008
2.5 3.84 0.0071
2.5 3.96 0.0063
2.5 4.08 0.0056
2.5 4.21 0.005
2.5 4.34 0.0044
2.5 4.47 0.0039
2.5 4.61 0.0035
2.5 4.76 0.0032
2.5 4.9 0.0029
2.5 5.06 0.0026
2.5 5.21 0.0024
2.5 5.37 0.0022
2.5 5.54 0.0021
2.5 5.71 0.002
2.5 5.89 0.0019
2.5 6.07 0.0018
2.5 6.26 0.0017
2.5 6.46 0.0017
2.5 6.65 0.0017
2.5 6.86 0.0017
2.5 7.07 0.0017
2.5 7.3 0.0017
2.5 7.52 0.0017
2.5 7.76 0.0018
2.5 7.99 0.0018
2.5 8.25 0.0019
2.5 8.5 0.0019
2.5 8.77 0.002
2.5 9.03 0.002
2.5 9.32 0.0021
2.5 9.6 0.0022
2.5 9.91 0.0022
2.5 10.21 0.0023
2.5 10.53 0.0024
2.5 10.85 0.0025
2.5 11.19 0.0026
2.5 11.54 0.0027
2.5 11.9 0.0028
2.5 12.26 0.0029
2.5 12.65 0.003
2.5 13.04 0.0031
2.5 13.45 0.0032
2.5 13.86 0.0033
2.5 14.3 0.0035
2.5 14.73 0.0036
2.5 15.2 0.0038
2.5 15.66 0.004
2.5 16.15 0.0043
2.5 16.65 0.0047
2.5 17.17 0.0053
2.5 17.7 0.0061
2.5 18.26 0.0076
2.5 18.81 0.01
2.5 19.41 0.0141
2.5 20.0 0.0206
2.5 20.63 0.0309
2.5 21.26 0.0452
2.75 1.03 0.3485
2.75 1.06 0.3286
2.75 1.1 0.3628
2.75 1.13 0.4225
2.75 1.17 0.4371
2.75 1.2 0.3756
2.75 1.24 0.2767
2.75 1.28 0.1966
2.75 1.32 0.1478
2.75 1.36 0.1269
2.75 1.4 0.1206
2.75 1.44 0.1199
2.75 1.49 0.1186
2.75 1.53 0.1142
2.75 1.58 0.1062
2.75 1.63 0.0969
2.75 1.68 0.0878
2.75 1.73 0.0813
2.75 1.79 0.078
2.75 1.84 0.0783
2.75 1.9 0.0817
2.75 1.96 0.0869
2.75 2.02 0.093
2.75 2.08 0.0978
2.75 2.15 0.1002
2.75 2.21 0.099
2.75 2.28 0.0942
2.75 2.35 0.0868
2.75 2.43 0.0776
2.75 2.5 0.0683
2.75 2.58 0.0593
2.75 2.66 0.0517
2.75 2.74 0.045
2.75 2.83 0.0397
2.75 2.92 0.0354
2.75 3.01 0.032
2.75 3.1 0.0292
2.75 3.2 0.0269
2.75 3.3 0.0251
2.75 3.4 0.0235
2.75 3.5 0.0222
2.75 3.61 0.0211
2.75 3.72 0.0201
2.75 3.84 0.0192
2.75 3.96 0.0185
2.75 4.08 0.0178
2.75 4.21 0.0172
2.75 4.34 0.0167
2.75 4.47 0.0162
2.75 4.61 0.0158
2.75 4.76 0.0155
2.75 4.9 0.0153
2.75 5.06 0.0152
2.75 5.21 0.0153
2.75 5.37 0.0154
2.75 5.54 0.0157
2.75 5.71 0.0161
2.75 5.89 0.0166
2.75 6.07 0.0173
2.75 6.26 0.0182
2.75 6.46 0.0192
2.75 6.65 0.0203
2.75 6.86 0.0215
2.75 7.07 0.0226
2.75 7.3 0.0236
2.75 7.52 0.0242
2.75 7.76 0.0243
2.75 7.99 0.024
2.75 8.25 0.0231
2.75 8.5 0.0218
2.75 8.77 0.02
2.75 9.03 0.0181
2.75 9.32 0.016
2.75 9.6 0.014
2.75 9.91 0.012
2.75 10.21 0.0102
2.75 10.53 0.0086
2.75 10.85 0.0072
2.75 11.19 0.006
2.75 11.54 0.0051
2.75 11.9 0.0042
2.75 12.26 0.0035
2.75 12.65 0.003
2.75 13.04 0.0025
2.75 13.45 0.0021
2.75 13.86 0.0018
2.75 14.3 0.0016
2.75 14.73 0.0014
2.75 15.2 0.0012
2.75 15.66 0.0011
2.75 16.15 0.001
2.75 16.65 0.0009
2.75 17.17 0.0008
2.75 17.7 0.0008
2.75 18.26 0.0007
2.75 18.81 0.0007
2.75 19.41 0.0006
2.75 20.0 0.0006
2.75 20.63 0.0006
2.75 21.26 0.0005
3.0 1.03 1.0165
3.0 1.06 0.9224
3.0 1.1 0.8303
3.0 1.13 0.7217
3.0 1.17 0.6181
3.0 1.2 0.5317
3.0 1.24 0.4335
3.0 1.28 0.337
3.0 1.32 0.2556
3.0 1.36 0.2027
3.0 1.4 0.175
3.0 1.44 0.1719
3.0 1.49 0.1878
3.0 1.53 0.2123
3.0 1.58 0.234
3.0 1.63 0.2424
3.0 1.68 0.238
3.0 1.73 0.2288
3.0 1.79 0.2217
3.0 1.84 0.2169
3.0 1.9 0.209
3.0 1.96 0.1967
3.0 2.02 0.1824
3.0 2.08 0.1726
3.0 2.15 0.1697
3.0 2.21 0.1708
3.0 2.28 0.1688
3.0 2.35 0.1585
3.0 2.43 0.1393
3.0 2.5 0.1163
3.0 2.58 0.0931
3.0 2.66 0.0743
3.0 2.74 0.0597
3.0 2.83 0.0499
3.0 2.92 0.0431
3.0 3.01 0.0387
3.0 3.1 0.0355
3.0 3.2 0.0331
3.0 3.3 0.0312
3.0 3.4 0.0296
3.0 3.5 0.0281
3.0 3.61 0.0268
3.0 3.72 0.0255
3.0 3.84 0.0245
3.0 3.96 0.0236
3.0 4.08 0.023
3.0 4.21 0.0226
3.0 4.34 0.0225
3.0 4.47 0.0228
3.0 4.61 0.0233
3.0 4.76 0.0242
3.0 4.9 0.0254
3.0 5.06 0.027
3.0 5.21 0.0289
3.0 5.37 0.031
3.0 5.54 0.0334
3.0 5.71 0.0362
3.0 5.89 0.0392
3.0 6.07 0.0427
3.0 6.26 0.0465
3.0 6.46 0.0505
3.0 6.65 0.0543
3.0 6.86 0.0575
3.0 7.07 0.0593
3.0 7.3 0.0591
3.0 7.52 0.0568
3.0 7.76 0.0523
3.0 7.99 0.0466
3.0 8.25 0.0399
3.0 8.5 0.0334
3.0 8.77 0.0271
3.0 9.03 0.0217
3.0 9.32 0.0171
3.0 9.6 0.0135
3.0 9.91 0.0104
3.0 10.21 0.0082
3.0 10.53 0.0063
3.0 10.85 0.005
3.0 11.19 0.0039
3.0 11.54 0.0031
3.0 11.9 0.0025
